Name,Layout,Features,Availability,MinKeys,MaxKeys,Website,Image,Note
BFO-9000,ortho,split,kit,108,108,https://keeb.io/products/bfo-9000-keyboard-customizable-full-size-split-ortholinear,BFO-9000.jpg,
Chimera Ortho,ortho,split wireless,source,46,46,https://github.com/GlenPickle/Chimera,Chimera.jpg,
Darknight,ortho,split,source,48,48,https://github.com/macroxue/keyboard-diy,Darknight.jpg,
For Science,ortho,split,source,6,46,https://github.com/peej/for-science-keyboard,ForScience.jpg,
Helix,ortho,splitdisplay,source,76,76,https://github.com/MakotoKurauchi/helix,Helix.jpg,
Koolertron Macro,ortho,split,massproduced,46,96,https://www.koolertron.com/catalogsearch/result/?q=keyboard,Koolertron-Macro.jpg,
Let’s Split,ortho,split,assembled kit source,48,48,https://github.com/nicinabox/lets-split-guide,LetsSplit.jpg,
Levinson,ortho,split,kit,48,48,https://keeb.io/products/levinson-lets-split-w-led-backlight,Levinson.jpg,
Meiosis,ortho,split,kit,60,60,https://southpawdesign.net/products/meiosis,Meiosis.jpg,
Nyquist,ortho,split,unavailable,60,60,https://keeb.io/collections/frontpage/products/nyquist-keyboard?variant=48309345990,Nyquist.jpg,
Orthograph,ortho,split,kit,82,82,https://geekhack.org/index.php?topic=111705.msg3024913,orthograph.jpg,
Rebound,ortho,single display encoder,kit,48,51,https://store.montsinger.net/products/rebound,rebound.jpg,
Viterbi,ortho,split,unavailable,68,70,https://keeb.io/products/viterbi-keyboard-pcbs-5x7-70-split-ortholinear,Viterbi.jpg,
Zeta,ortho,split wireless,kit,48,48,https://southpawdesign.net/products/zeta-ergonomic-wireless-keyboard,zeta.jpg,
